data_hora,client_ip,method,uri,feature,valor_real,limite,risk,decisao
2026-09-15T22:32:49.716954,172.19.0.1,GET,/?teste=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,query_length,238,200,0.0,LIBERADO
2026-09-16T16:03:11.258841,172.19.0.4,GET,/tienda1/miembros/editar.jsp,query_length,288,200,0.9990099422127632,BLOQUEADO
2026-09-16T16:03:11.361540,172.19.0.4,GET,/tienda1/publico/registro.jsp,query_length,251,200,0.18747059241944253,LIBERADO
2026-09-16T16:07:52.567604,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,288,200,0.9990099422127632,BLOQUEADO
2026-09-16T16:07:52.668177,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,251,200,0.18747059241944253,LIBERADO
2026-09-16T16:15:33.627443,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,256,200,0.09324752692945935,LIBERADO
2026-09-16T16:15:33.774484,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,227,200,0.10287589309711494,LIBERADO
2026-09-16T16:15:34.354985,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,278,200,0.20183792830237648,LIBERADO
2026-09-16T16:15:35.722234,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,252,200,0.3595429828517542,LIBERADO
2026-09-16T16:15:37.425858,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,284,200,0.999422249073279,BLOQUEADO
2026-09-16T16:19:26.488024,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,279,200,0.11353219837377476,LIBERADO
2026-09-16T16:19:27.511274,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,255,200,0.3695646664989336,LIBERADO
2026-09-16T16:19:27.658241,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,239,200,0.24631827310776985,LIBERADO
2026-09-16T16:19:29.624587,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,257,200,0.7892122088287036,BLOQUEADO
2026-09-16T16:19:29.673332,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,237,200,0.7313594744397532,BLOQUEADO
2026-09-16T16:19:29.967575,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,244,200,0.7106381458145021,BLOQUEADO
2026-09-16T16:19:30.457637,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,255,200,0.7916123797675163,BLOQUEADO
2026-09-16T16:19:30.943829,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,250,200,0.94199838309045,BLOQUEADO
2026-09-16T16:19:30.992708,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,239,200,0.8590558098437133,BLOQUEADO
2026-09-16T16:19:31.091267,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,229,200,0.9037733312940929,BLOQUEADO
2026-09-16T16:19:31.285994,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,260,200,0.91712311149499,BLOQUEADO
2026-09-16T16:19:31.677853,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,303,200,0.9993740549641785,BLOQUEADO
2026-09-16T16:19:31.873771,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,226,200,0.9469148546985494,BLOQUEADO
2026-09-16T16:19:32.121794,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,236,200,0.9557637966063535,BLOQUEADO
2026-09-16T16:19:32.993706,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,245,200,0.9994876529822047,BLOQUEADO
2026-09-16T16:19:33.674420,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,252,200,0.9803626847903616,BLOQUEADO
2026-09-16T16:19:33.773028,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,239,200,0.9858189312672433,BLOQUEADO
2026-09-16T16:19:34.620648,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,249,200,0.9892608151179815,BLOQUEADO
2026-09-16T16:19:34.669520,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,267,200,0.9895571720871094,BLOQUEADO
2026-09-16T16:19:34.859778,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,234,200,0.9906433010805297,BLOQUEADO
2026-09-16T16:19:36.079387,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,256,200,0.9950320242775423,BLOQUEADO
2026-09-16T16:19:36.175635,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,226,200,0.9952416510047444,BLOQUEADO
2026-09-16T16:19:37.786426,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,247,200,0.997451784317922,BLOQUEADO
2026-09-16T16:19:38.357814,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,231,200,0.998112810170613,BLOQUEADO
2026-09-16T16:19:38.545358,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,254,200,0.9987943500985474,BLOQUEADO
2026-09-16T16:19:39.066211,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,260,200,0.9995546388470506,BLOQUEADO
2026-09-16T16:19:39.351548,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,247,200,0.9983629742086105,BLOQUEADO
2026-09-16T16:19:39.591009,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,230,200,0.9984518050789887,BLOQUEADO
2026-09-16T16:19:41.432454,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,247,200,0.9989161418016665,BLOQUEADO
2026-09-16T16:19:41.759878,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,256,200,0.9990391731796625,BLOQUEADO
2026-09-16T16:19:41.998571,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,279,200,0.9995842784036397,BLOQUEADO
2026-09-16T16:19:42.097526,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,248,200,0.999081396698102,BLOQUEADO
2026-09-16T16:19:42.473427,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,223,200,0.9990690672296253,BLOQUEADO
2026-09-16T16:19:43.174693,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,267,200,0.9991476948699557,BLOQUEADO
2026-09-16T16:19:43.226869,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,267,200,0.9991523639687768,BLOQUEADO
2026-09-16T16:19:43.413770,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,257,200,0.9991704092371758,BLOQUEADO
2026-09-16T16:19:43.878107,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,267,200,0.9992494353289935,BLOQUEADO
2026-09-16T16:19:44.205095,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,229,200,0.9992371915125337,BLOQUEADO
2026-09-16T16:19:45.233091,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,289,200,0.9995938895543092,BLOQUEADO
2026-09-16T16:19:46.069598,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,562,200,0.9993919856847993,BLOQUEADO
2026-09-16T16:19:46.164213,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,226,200,0.9993530410744719,BLOQUEADO
2026-09-16T16:19:46.581893,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,244,200,0.9993920191257917,BLOQUEADO
2026-09-16T16:19:46.722240,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,284,200,0.9995993118602283,BLOQUEADO
2026-09-16T16:19:47.001081,172.19.0.3,GET,/tienda1/publico/caracteristicas.jsp,query_length,350,200,0.9990194766229769,BLOQUEADO
2026-09-16T16:19:48.772396,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,233,200,0.9994450908809573,BLOQUEADO
2026-09-16T16:19:48.960707,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,232,200,0.9994629719747294,BLOQUEADO
2026-09-16T16:19:49.240128,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,261,200,0.9994570019293862,BLOQUEADO
2026-09-16T16:29:57.806340,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,238,200,0.19147789450400177,LIBERADO
2026-09-16T16:29:57.857528,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,223,200,0.1977086607326972,LIBERADO
2026-09-16T16:29:57.958556,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,246,200,0.6124212163800039,BLOQUEADO
2026-09-16T16:30:00.249471,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,245,200,0.7313594744397532,BLOQUEADO
2026-09-16T16:30:01.355638,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,247,200,0.8311469006727746,BLOQUEADO
2026-09-16T16:30:01.850376,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,237,200,0.8827409086568903,BLOQUEADO
2026-09-16T16:30:02.684937,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,245,200,0.954130682342066,BLOQUEADO
2026-09-16T16:30:03.513850,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,241,200,0.9747543245938165,BLOQUEADO
2026-09-16T16:30:05.459882,172.19.0.3,GET,/tienda1/publico/registro.jsp,query_length,229,200,0.9923283228691386,BLOQUEADO
2026-09-16T16:30:05.849642,172.19.0.3,GET,/tienda1/miembros/editar.jsp,query_length,249,200,0.9937080500893293,BLOQUEADO
