data_hora,metodo,caminho,risco,threshold,decisao,status_http
2026-09-16T15:01:37.778426+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T15:27:04.800744+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T15:28:40.840462+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T15:28:43.768924+00:00,GET,/favicon.ico,0.0030527582216806014,0.44,LIBERADA,200
2026-09-16T15:32:17.625556+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T15:33:00.455828+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T15:33:24.890376+00:00,GET,/favicon.ico,0.0030527582216806014,0.44,LIBERADA,200
2026-09-16T15:40:18.894752+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T15:48:48.087703+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T15:48:51.379406+00:00,GET,/favicon.ico,0.0030527582216806014,0.44,LIBERADA,200
2026-09-16T15:48:51.764472+00:00,GET,/favicon.ico,0.0031113778454189707,0.44,LIBERADA,200
2026-09-16T15:48:52.457587+00:00,GET,/favicon.ico,0.0031717242270211696,0.44,LIBERADA,200
2026-09-16T15:48:53.255148+00:00,GET,/favicon.ico,0.0032338581398821445,0.44,LIBERADA,200
2026-09-16T15:48:54.207407+00:00,GET,/favicon.ico,0.003297842777179281,0.44,LIBERADA,200
2026-09-16T15:48:55.303362+00:00,GET,/favicon.ico,0.0033637438568276516,0.44,LIBERADA,200
2026-09-16T15:48:56.891767+00:00,GET,/favicon.ico,0.0034316297312468043,0.44,LIBERADA,200
2026-09-16T15:48:57.624222+00:00,GET,/favicon.ico,0.0035015715021655194,0.44,LIBERADA,200
2026-09-16T15:55:56.622432+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T15:55:59.524212+00:00,GET,/favicon.ico,0.0030527582216806014,0.44,LIBERADA,200
2026-09-16T15:56:17.084378+00:00,GET,/favicon.ico,0.0031113778454189707,0.44,LIBERADA,200
2026-09-16T15:58:12.818831+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T16:01:13.480762+00:00,GET,/favicon.ico,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T16:02:46.362976+00:00,GET,/,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T16:03:10.848331+00:00,GET,/tienda1/imagenes/cmenbul.gif,0.002995806901833758,0.44,LIBERADA,200
2026-09-16T16:03:10.899070+00:00,GET,/tienda1/index.jsp,0.0030527582216806014,0.44,LIBERADA,200
2026-09-16T16:03:10.947638+00:00,POST,/tienda1/miembros/editar.jsp,0.00300900634165317,0.44,LIBERADA,200
2026-09-16T16:03:10.997226+00:00,GET,/tienda1/publico/vaciar.jsp,0.0037501715176609203,0.44,LIBERADA,200
2026-09-16T16:03:11.046283+00:00,GET,/tienda1/publico/productos.jsp,0.0032338581398821445,0.44,LIBERADA,200
2026-09-16T16:03:11.096114+00:00,POST,/tienda1/publico/vaciar.jsp,0.007608942449950987,0.44,LIBERADA,200
2026-09-16T16:03:11.145438+00:00,GET,/tienda1/publico/caracteristicas.jsp,0.004000455164679532,0.44,LIBERADA,200
2026-09-16T16:03:11.196685+00:00,GET,/tienda1/publico/pagar.jsp,0.989536031258749,0.44,BLOQUEADA,403
2026-09-16T16:03:11.245777+00:00,GET,/tienda1/miembros/editar.jsp,0.9990099422127632,0.44,BLOQUEADA,403
2026-09-16T16:03:11.307092+00:00,POST,/tienda1/publico/vaciar.jsp,0.008519957216299459,0.44,LIBERADA,200
2026-09-16T16:03:11.357876+00:00,GET,/tienda1/publico/registro.jsp,0.18747059241944253,0.44,LIBERADA,200
2026-09-16T16:03:11.409980+00:00,GET,/tienda1/miembros/fotos.jsp,0.0037244870114284865,0.44,LIBERADA,200
2026-09-16T16:03:11.459336+00:00,GET,/tienda1/publico/anadir.jsp,0.013985101620875727,0.44,LIBERADA,200
