epoch,online_mse_mean,train_mse_after_epoch,validation_mse,train_validation_gap,wall_seconds,cpu_seconds,hidden_saturation_percentage,layer_1_weight_abs_mean,layer_1_weight_std,layer_1_delta_abs_mean,layer_1_delta_abs_max,layer_2_weight_abs_mean,layer_2_weight_std,layer_2_delta_abs_mean,layer_2_delta_abs_max
1,0.13513148918068785,0.0900099415890152,0.09565715545557789,0.005647213866562695,0.41571729999850504,0.40625,0.09572796113730533,0.6113434128462872,0.7181342924586075,0.00011853567157159822,0.002808689671373374,0.6690059257405355,0.7749862993332722,0.0004017531440430187,0.0014814814726434448
2,0.07128368661491873,0.05916299059686567,0.06560305302694161,0.0064400624300759435,0.41657229998963885,0.40625,0.6943849121303043,0.6987981548607478,0.8452516524313342,9.375874595698036e-05,0.0036904505121029586,0.8211748251671257,0.96105284926616,0.0002207030551709115,0.0014814813772669254
3,0.05099979429909486,0.04472935829172402,0.05056493103692073,0.005835572745196714,0.43455040000844747,0.390625,1.3630518645520788,0.7667338220299089,0.9410847524741291,7.671735137773158e-05,0.004055250575544627,0.9075157424296083,1.0738016669161798,0.00014496579776707104,0.0014814813317788648
4,0.040776481476891675,0.03689286627569245,0.04220301291685913,0.005310146641166677,0.427739400009159,0.4375,1.8416916702386055,0.8198150850807187,1.0196648980450171,6.527275463008675e-05,0.004395746404602856,0.9635123806355435,1.15005878609898,0.00010955671409041903,0.001481475399659666
5,0.03423816091046924,0.031663750153781534,0.03637748982895804,0.0047137396751765065,0.40647570000146516,0.40625,2.2931847406772397,0.8639809260586994,1.0868687813147442,5.723866881165503e-05,0.004723369641705847,1.0047070976280972,1.2071637541347446,8.874052548607602e-05,0.0014814793630245678
6,0.02945089658026452,0.027532384907427605,0.03174133440365053,0.004208949496222927,0.4600780000037048,0.453125,2.767538219745678,0.9022026341122918,1.1461265369436715,5.126234109605354e-05,0.004983494228120633,1.0363629236552558,1.2554502150780964,7.574813208857666e-05,0.0014814812053842072
7,0.026012301558738817,0.024419429796453444,0.028310549516754192,0.003891119720300748,0.4194026000041049,0.421875,3.1261608801257323,0.9359953296706945,1.1989085601400418,4.648004308753878e-05,0.005171011761179979,1.060956320451585,1.2961305076700245,6.622089293551539e-05,0.0014814813616195745
8,0.023392982605870572,0.022585992324244086,0.025888344755232533,0.0033023524309884478,0.41300849997787736,0.421875,3.4604943563366195,0.9674964354149261,1.2485848052937454,4.278927326664699e-05,0.005390470865282457,1.0838983767657289,1.3297076792072968,5.964462620903566e-05,0.0014814814626191225
9,0.02140259504511329,0.02062839041513914,0.023627556579410302,0.00299916616427116,0.41891340000438504,0.40625,3.7405343620517217,0.9957085921935216,1.2934095046300729,3.9792516581041176e-05,0.005547454536807692,1.1021249776548598,1.3609198478790305,5.47439421044798e-05,0.0014814733022947837
10,0.019779212131820195,0.018961251233142202,0.021737719135898018,0.0027764679027558158,0.4276759000204038,0.4375,3.963423346192313,1.0205534130090221,1.3345565185101196,3.7177683144241046e-05,0.005753498069489667,1.1173207007326094,1.388683849985759,5.045957939331795e-05,0.0014814812122598128
11,0.018267815868198197,0.017732779157846653,0.020361441673611532,0.002628662515764879,0.4307290999859106,0.421875,4.172024574939277,1.043644607621327,1.3735167479618142,3.5078363436871356e-05,0.0058916446080104126,1.1313604481004214,1.4151283267165444,4.7445857770781905e-05,0.0014814813912287427
12,0.017210618005679246,0.016642281519100223,0.01913324569543479,0.0024909641763345668,0.42485140002099797,0.421875,4.476353764823546,1.064572795830981,1.4097185753104096,3.322379655688996e-05,0.006025029738601244,1.1434507597873942,1.438824879074241,4.4517477988015475e-05,0.0014814804591901129
